model,classifiers,parameters,auc,accuracy_1,precision_1,recall_1,f1_1,accuracy_2,precision_2,recall_2,f1_2,accuracy_5,precision_5,recall_5,f1_5,accuracy_10,precision_10,recall_10,f1_10,accuracy_20,precision_20,recall_20,f1_20,accuracy_30,precision_30,recall_30,f1_30,accuracy_50,precision_50,recall_50,f1_50,sample
LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='warn',
          n_jobs=None, penalty='l2', random_state=None, solver='warn',
          tol=0.0001, verbose=0, warm_start=False)","{'C': 1e-05, 'penalty': 'l1'}",0.5,0.745920041447198,0.24242424242424243,0.009712105445716268,0.018676004669001166,0.7406527933684484,0.23974082073434125,0.019250780437044746,0.03563974955851662,0.7271392798549348,0.2607944732297064,0.05237599722511273,0.08723281340265743,0.6998532078404283,0.24395509499136442,0.09798820672910163,0.13981687701064094,0.6495121319402469,0.24611398963730569,0.19771071800208118,0.2192729371032891,0.6007253259649425,0.24942429476108233,0.3005549774540409,0.27261286770489224,0.5021587082289958,0.25110094119678783,0.5043357613596947,0.335274110797256,1
LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='warn',
          n_jobs=None, penalty='l2', random_state=None, solver='warn',
          tol=0.0001, verbose=0, warm_start=False)","{'C': 1e-05, 'penalty': 'l2'}",0.5005075103880815,0.7461790864346775,0.2554112554112554,0.01023239680887964,0.01967650491912623,0.7422934116224851,0.28077753779697623,0.022545959070412763,0.04174024723069513,0.7267938865382955,0.25734024179620035,0.05168227540756157,0.08607741190063546,0.7001122528279078,0.2452504317789292,0.098508498092265,0.14055926750804257,0.6506346602193247,0.24892055267702937,0.19996531390912245,0.22177341796499328,0.5958034712028323,0.24122049510650548,0.29066944155393687,0.2636463740758219,0.4977549434418444,0.24669717640963648,0.49549080818591745,0.329394131550124,1
LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='warn',
          n_jobs=None, penalty='l2', random_state=None, solver='warn',
          tol=0.0001, verbose=0, warm_start=False)","{'C': 0.0001, 'penalty': 'l1'}",0.4981190631772571,0.7468698730679562,0.29004329004329005,0.011619840443981963,0.022344505586126398,0.7417753216475261,0.2678185745140389,0.021505376344086023,0.03981377428158613,0.7248078749676193,0.2374784110535406,0.04769337495664239,0.07943385326400923,0.7019255677402643,0.25431778929188253,0.10215053763440861,0.145756000989854,0.6459718504446939,0.23726252158894645,0.19060006937218177,0.21138680515483746,0.5976167861151886,0.24424294761082327,0.29431148109608046,0.2669498190970584,0.4958552802003281,0.2447975131681202,0.4916753381893861,0.3268576699141062,1
LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='warn',
          n_jobs=None, penalty='l2', random_state=None, solver='warn',
          tol=0.0001, verbose=0, warm_start=False)","{'C': 0.0001, 'penalty': 'l2'}",0.49817955846337025,0.7463517830929971,0.26406926406926406,0.01057925771765522,0.02034350508587627,0.7397029617476902,0.2159827213822894,0.01734304543877905,0.032107882485150105,0.7267075382091357,0.25647668393782386,0.051508844953173774,0.08578856152512998,0.7018392194111044,0.2538860103626943,0.10197710718002082,0.1455085374907201,0.6502892669026854,0.24805699481865284,0.19927159209157128,0.22100403923831505,0.5960625161903117,0.24165227403569373,0.29118973291710026,0.2641182947931414,0.4996546066833607,0.24859683965115276,0.4993062781824488,0.33193059318614176,1
LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='warn',
          n_jobs=None, penalty='l2', random_state=None, solver='warn',
          tol=0.0001, verbose=0, warm_start=False)","{'C': 0.001, 'penalty': 'l1'}",0.5037686030980446,0.7466971764096365,0.2813852813852814,0.011272979535206382,0.021677505419376353,0.7403937483809688,0.23326133909287258,0.018730489073881373,0.03467651308396211,0.7267075382091357,0.25647668393782386,0.051508844953173774,0.08578856152512998,0.6988170278905104,0.23877374784110536,0.09590704127644814,0.1368473150210344,0.6497711769277265,0.24676165803108807,0.19823100936524454,0.21984997114829777,0.5995164493567049,0.24740932642487046,0.29812695109261184,0.27041057102406796,0.4997409550125205,0.24868318798031258,0.4994797086368366,0.33204588689686976,1
LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='warn',
          n_jobs=None, penalty='l2', random_state=None, solver='warn',
          tol=0.0001, verbose=0, warm_start=False)","{'C': 0.001, 'penalty': 'l2'}",0.49865895469409527,0.7460927381055177,0.2510822510822511,0.010058966354491848,0.019343004835751212,0.7406527933684484,0.23974082073434125,0.019250780437044746,0.03563974955851662,0.7271392798549348,0.2607944732297064,0.05237599722511273,0.08723281340265743,0.7029617476901822,0.2594991364421416,0.10423170308706209,0.14872556297946052,0.6476124686987307,0.24136442141623488,0.19389524800554978,0.21504135410655895,0.5994301010275451,0.24726540011514106,0.29795352063822406,0.2702532641182948,0.4962870218461273,0.24522925481391936,0.49254249046132503,0.3274341384677466,1
LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='warn',
          n_jobs=None, penalty='l2', random_state=None, solver='warn',
          tol=0.0001, verbose=0, warm_start=False)","{'C': 0.01, 'penalty': 'l1'}",0.4997189680915879,0.7458336931180382,0.23809523809523808,0.009538674991328478,0.018342504585626147,0.7396166134185304,0.21382289416846653,0.01716961498439126,0.0317868036602986,0.7264484932216562,0.2538860103626943,0.05098855359001041,0.08492201039861351,0.7022709610569036,0.2560449050086356,0.10284425945195977,0.1467458549863895,0.6510664018651239,0.25,0.2008324661810614,0.22273514137334102,0.5998618426733443,0.24798503166378813,0.298820672910163,0.2710397986471606,0.5033675848372334,0.2523098178050255,0.5067637877211238,0.3368882227474491,1
LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='warn',
          n_jobs=None, penalty='l2', random_state=None, solver='warn',
          tol=0.0001, verbose=0, warm_start=False)","{'C': 0.01, 'penalty': 'l2'}",0.4977988608701734,0.745401951472239,0.21645021645021645,0.008671522719389525,0.01667500416875104,0.7409981866850877,0.24838012958963282,0.019944502254595906,0.03692406485792262,0.7250669199550989,0.24006908462867013,0.04821366631980576,0.08030040439052571,0.7011484327778258,0.2504317789291883,0.10058966354491848,0.14352882949764909,0.6541749417148778,0.25777202072538863,0.20707596253902186,0.22965954991344492,0.6033157758397375,0.2537420840529649,0.30575789108567464,0.27733207487808714,0.5002590449874795,0.24920127795527156,0.5005202913631633,0.3327376491612382,1
LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='warn',
          n_jobs=None, penalty='l2', random_state=None, solver='warn',
          tol=0.0001, verbose=0, warm_start=False)","{'C': 0.1, 'penalty': 'l1'}",0.5035412323428137,0.7460063897763578,0.24675324675324675,0.009885535900104058,0.019009504752376186,0.741343580001727,0.2570194384449244,0.02063822407214707,0.03820838015732863,0.7264484932216562,0.2538860103626943,0.05098855359001041,0.08492201039861351,0.6990760728779898,0.24006908462867013,0.09642733263961152,0.13758970551843602,0.6506346602193247,0.24892055267702937,0.19996531390912245,0.22177341796499328,0.6001208876608237,0.2484168105929764,0.2993409642733264,0.2715117193644801,0.5019860115706761,0.2509282445384682,0.5039889004509192,0.33504352337579985,1
LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='warn',
          n_jobs=None, penalty='l2', random_state=None, solver='warn',
          tol=0.0001, verbose=0, warm_start=False)","{'C': 0.1, 'penalty': 'l2'}",0.5066377076888513,0.7456609964597185,0.22943722943722944,0.009191814082552896,0.017675504418876106,0.7422070632933253,0.2786177105831533,0.022372528616024973,0.041419168405843636,0.725498661600898,0.24438687392055267,0.04908081859174471,0.08174465626805315,0.6996805111821086,0.24309153713298792,0.09764134582032605,0.13932195001237319,0.6523616268025214,0.25323834196891193,0.20343392299687826,0.22562031159838433,0.597962179431828,0.24481865284974094,0.29500520291363164,0.26757904672015104,0.49620067351696745,0.24514290648475953,0.4923690600069372,0.32731884475701856,1
