model,classifiers,parameters,auc,total_1,total_2,total_5,total_10,total_20,total_30,total_50,sample
LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='warn',
          n_jobs=None, penalty='l2', random_state=None, solver='warn',
          tol=0.0001, verbose=0, warm_start=False)","{'C': 1e-05, 'penalty': 'l1'}",0.5,"              precision    recall  f1-score   support

       False       0.75      0.99      0.85     17396
        True       0.24      0.01      0.02      5766

   micro avg       0.75      0.75      0.75     23162
   macro avg       0.50      0.50      0.44     23162
weighted avg       0.62      0.75      0.65     23162
","              precision    recall  f1-score   support

       False       0.75      0.98      0.85     17396
        True       0.24      0.02      0.04      5766

   micro avg       0.74      0.74      0.74     23162
   macro avg       0.50      0.50      0.44     23162
weighted avg       0.62      0.74      0.65     23162
","              precision    recall  f1-score   support

       False       0.75      0.95      0.84     17396
        True       0.26      0.05      0.09      5766

   micro avg       0.73      0.73      0.73     23162
   macro avg       0.51      0.50      0.46     23162
weighted avg       0.63      0.73      0.65     23162
","              precision    recall  f1-score   support

       False       0.75      0.90      0.82     17396
        True       0.24      0.10      0.14      5766

   micro avg       0.70      0.70      0.70     23162
   macro avg       0.50      0.50      0.48     23162
weighted avg       0.62      0.70      0.65     23162
","              precision    recall  f1-score   support

       False       0.75      0.80      0.77     17396
        True       0.25      0.20      0.22      5766

   micro avg       0.65      0.65      0.65     23162
   macro avg       0.50      0.50      0.50     23162
weighted avg       0.62      0.65      0.64     23162
","              precision    recall  f1-score   support

       False       0.75      0.70      0.72     17396
        True       0.25      0.30      0.27      5766

   micro avg       0.60      0.60      0.60     23162
   macro avg       0.50      0.50      0.50     23162
weighted avg       0.63      0.60      0.61     23162
","              precision    recall  f1-score   support

       False       0.75      0.50      0.60     17396
        True       0.25      0.50      0.34      5766

   micro avg       0.50      0.50      0.50     23162
   macro avg       0.50      0.50      0.47     23162
weighted avg       0.63      0.50      0.54     23162
",1
LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='warn',
          n_jobs=None, penalty='l2', random_state=None, solver='warn',
          tol=0.0001, verbose=0, warm_start=False)","{'C': 1e-05, 'penalty': 'l2'}",0.5005075103880815,"              precision    recall  f1-score   support

       False       0.75      0.99      0.85     17396
        True       0.26      0.01      0.02      5766

   micro avg       0.75      0.75      0.75     23162
   macro avg       0.50      0.50      0.44     23162
weighted avg       0.63      0.75      0.65     23162
","              precision    recall  f1-score   support

       False       0.75      0.98      0.85     17396
        True       0.28      0.02      0.04      5766

   micro avg       0.74      0.74      0.74     23162
   macro avg       0.52      0.50      0.45     23162
weighted avg       0.63      0.74      0.65     23162
","              precision    recall  f1-score   support

       False       0.75      0.95      0.84     17396
        True       0.26      0.05      0.09      5766

   micro avg       0.73      0.73      0.73     23162
   macro avg       0.50      0.50      0.46     23162
weighted avg       0.63      0.73      0.65     23162
","              precision    recall  f1-score   support

       False       0.75      0.90      0.82     17396
        True       0.25      0.10      0.14      5766

   micro avg       0.70      0.70      0.70     23162
   macro avg       0.50      0.50      0.48     23162
weighted avg       0.62      0.70      0.65     23162
","              precision    recall  f1-score   support

       False       0.75      0.80      0.77     17396
        True       0.25      0.20      0.22      5766

   micro avg       0.65      0.65      0.65     23162
   macro avg       0.50      0.50      0.50     23162
weighted avg       0.63      0.65      0.64     23162
","              precision    recall  f1-score   support

       False       0.75      0.70      0.72     17396
        True       0.24      0.29      0.26      5766

   micro avg       0.60      0.60      0.60     23162
   macro avg       0.49      0.49      0.49     23162
weighted avg       0.62      0.60      0.61     23162
","              precision    recall  f1-score   support

       False       0.75      0.50      0.60     17396
        True       0.25      0.50      0.33      5766

   micro avg       0.50      0.50      0.50     23162
   macro avg       0.50      0.50      0.46     23162
weighted avg       0.62      0.50      0.53     23162
",1
LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='warn',
          n_jobs=None, penalty='l2', random_state=None, solver='warn',
          tol=0.0001, verbose=0, warm_start=False)","{'C': 0.001, 'penalty': 'l1'}",0.49881933001051915,"              precision    recall  f1-score   support

       False       0.75      0.99      0.85     17396
        True       0.30      0.01      0.02      5766

   micro avg       0.75      0.75      0.75     23162
   macro avg       0.53      0.50      0.44     23162
weighted avg       0.64      0.75      0.65     23162
","              precision    recall  f1-score   support

       False       0.75      0.98      0.85     17396
        True       0.23      0.02      0.03      5766

   micro avg       0.74      0.74      0.74     23162
   macro avg       0.49      0.50      0.44     23162
weighted avg       0.62      0.74      0.65     23162
","              precision    recall  f1-score   support

       False       0.75      0.95      0.84     17396
        True       0.23      0.05      0.08      5766

   micro avg       0.72      0.72      0.72     23162
   macro avg       0.49      0.50      0.46     23162
weighted avg       0.62      0.72      0.65     23162
","              precision    recall  f1-score   support

       False       0.75      0.90      0.82     17396
        True       0.24      0.10      0.14      5766

   micro avg       0.70      0.70      0.70     23162
   macro avg       0.50      0.50      0.48     23162
weighted avg       0.62      0.70      0.65     23162
","              precision    recall  f1-score   support

       False       0.75      0.80      0.78     17396
        True       0.25      0.20      0.22      5766

   micro avg       0.65      0.65      0.65     23162
   macro avg       0.50      0.50      0.50     23162
weighted avg       0.63      0.65      0.64     23162
","              precision    recall  f1-score   support

       False       0.75      0.70      0.72     17396
        True       0.24      0.29      0.27      5766

   micro avg       0.60      0.60      0.60     23162
   macro avg       0.50      0.50      0.50     23162
weighted avg       0.62      0.60      0.61     23162
","              precision    recall  f1-score   support

       False       0.75      0.50      0.60     17396
        True       0.25      0.51      0.34      5766

   micro avg       0.50      0.50      0.50     23162
   macro avg       0.50      0.50      0.47     23162
weighted avg       0.63      0.50      0.54     23162
",1
LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='warn',
          n_jobs=None, penalty='l2', random_state=None, solver='warn',
          tol=0.0001, verbose=0, warm_start=False)","{'C': 0.001, 'penalty': 'l2'}",0.5011365796132721,"              precision    recall  f1-score   support

       False       0.75      0.99      0.85     17396
        True       0.23      0.01      0.02      5766

   micro avg       0.75      0.75      0.75     23162
   macro avg       0.49      0.50      0.44     23162
weighted avg       0.62      0.75      0.65     23162
","              precision    recall  f1-score   support

       False       0.75      0.98      0.85     17396
        True       0.25      0.02      0.04      5766

   micro avg       0.74      0.74      0.74     23162
   macro avg       0.50      0.50      0.44     23162
weighted avg       0.63      0.74      0.65     23162
","              precision    recall  f1-score   support

       False       0.75      0.95      0.84     17396
        True       0.25      0.05      0.08      5766

   micro avg       0.73      0.73      0.73     23162
   macro avg       0.50      0.50      0.46     23162
weighted avg       0.63      0.73      0.65     23162
","              precision    recall  f1-score   support

       False       0.75      0.90      0.82     17396
        True       0.24      0.10      0.14      5766

   micro avg       0.70      0.70      0.70     23162
   macro avg       0.50      0.50      0.48     23162
weighted avg       0.62      0.70      0.65     23162
","              precision    recall  f1-score   support

       False       0.75      0.80      0.77     17396
        True       0.24      0.19      0.22      5766

   micro avg       0.65      0.65      0.65     23162
   macro avg       0.50      0.50      0.49     23162
weighted avg       0.62      0.65      0.63     23162
","              precision    recall  f1-score   support

       False       0.75      0.70      0.73     17396
        True       0.25      0.30      0.27      5766

   micro avg       0.60      0.60      0.60     23162
   macro avg       0.50      0.50      0.50     23162
weighted avg       0.63      0.60      0.61     23162
","              precision    recall  f1-score   support

       False       0.75      0.50      0.60     17396
        True       0.24      0.49      0.33      5766

   micro avg       0.50      0.50      0.50     23162
   macro avg       0.50      0.49      0.46     23162
weighted avg       0.62      0.50      0.53     23162
",1
LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='warn',
          n_jobs=None, penalty='l2', random_state=None, solver='warn',
          tol=0.0001, verbose=0, warm_start=False)","{'C': 0.1, 'penalty': 'l1'}",0.4972314134913023,"              precision    recall  f1-score   support

       False       0.75      0.99      0.85     17396
        True       0.20      0.01      0.02      5766

   micro avg       0.75      0.75      0.75     23162
   macro avg       0.48      0.50      0.43     23162
weighted avg       0.61      0.75      0.65     23162
","              precision    recall  f1-score   support

       False       0.75      0.98      0.85     17396
        True       0.26      0.02      0.04      5766

   micro avg       0.74      0.74      0.74     23162
   macro avg       0.51      0.50      0.44     23162
weighted avg       0.63      0.74      0.65     23162
","              precision    recall  f1-score   support

       False       0.75      0.95      0.84     17396
        True       0.23      0.05      0.08      5766

   micro avg       0.72      0.72      0.72     23162
   macro avg       0.49      0.50      0.46     23162
weighted avg       0.62      0.72      0.65     23162
","              precision    recall  f1-score   support

       False       0.75      0.90      0.82     17396
        True       0.25      0.10      0.14      5766

   micro avg       0.70      0.70      0.70     23162
   macro avg       0.50      0.50      0.48     23162
weighted avg       0.63      0.70      0.65     23162
","              precision    recall  f1-score   support

       False       0.75      0.80      0.77     17396
        True       0.25      0.20      0.22      5766

   micro avg       0.65      0.65      0.65     23162
   macro avg       0.50      0.50      0.50     23162
weighted avg       0.63      0.65      0.64     23162
","              precision    recall  f1-score   support

       False       0.75      0.70      0.73     17396
        True       0.25      0.30      0.27      5766

   micro avg       0.60      0.60      0.60     23162
   macro avg       0.50      0.50      0.50     23162
weighted avg       0.63      0.60      0.61     23162
","              precision    recall  f1-score   support

       False       0.75      0.50      0.60     17396
        True       0.25      0.50      0.34      5766

   micro avg       0.50      0.50      0.50     23162
   macro avg       0.50      0.50      0.47     23162
weighted avg       0.63      0.50      0.54     23162
",1
LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='warn',
          n_jobs=None, penalty='l2', random_state=None, solver='warn',
          tol=0.0001, verbose=0, warm_start=False)","{'C': 0.1, 'penalty': 'l2'}",0.5009416996519507,"              precision    recall  f1-score   support

       False       0.75      0.99      0.85     17396
        True       0.26      0.01      0.02      5766

   micro avg       0.75      0.75      0.75     23162
   macro avg       0.51      0.50      0.44     23162
weighted avg       0.63      0.75      0.65     23162
","              precision    recall  f1-score   support

       False       0.75      0.98      0.85     17396
        True       0.25      0.02      0.04      5766

   micro avg       0.74      0.74      0.74     23162
   macro avg       0.50      0.50      0.44     23162
weighted avg       0.63      0.74      0.65     23162
","              precision    recall  f1-score   support

       False       0.75      0.95      0.84     17396
        True       0.25      0.05      0.08      5766

   micro avg       0.73      0.73      0.73     23162
   macro avg       0.50      0.50      0.46     23162
weighted avg       0.63      0.73      0.65     23162
","              precision    recall  f1-score   support

       False       0.75      0.90      0.82     17396
        True       0.26      0.10      0.15      5766

   micro avg       0.70      0.70      0.70     23162
   macro avg       0.51      0.50      0.48     23162
weighted avg       0.63      0.70      0.65     23162
","              precision    recall  f1-score   support

       False       0.75      0.80      0.78     17396
        True       0.25      0.20      0.23      5766

   micro avg       0.65      0.65      0.65     23162
   macro avg       0.50      0.50      0.50     23162
weighted avg       0.63      0.65      0.64     23162
","              precision    recall  f1-score   support

       False       0.75      0.70      0.72     17396
        True       0.25      0.30      0.27      5766

   micro avg       0.60      0.60      0.60     23162
   macro avg       0.50      0.50      0.50     23162
weighted avg       0.63      0.60      0.61     23162
","              precision    recall  f1-score   support

       False       0.75      0.50      0.60     17396
        True       0.24      0.49      0.33      5766

   micro avg       0.50      0.50      0.50     23162
   macro avg       0.50      0.49      0.46     23162
weighted avg       0.62      0.50      0.53     23162
",1
LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='warn',
          n_jobs=None, penalty='l2', random_state=None, solver='warn',
          tol=0.0001, verbose=0, warm_start=False)","{'C': 1, 'penalty': 'l1'}",0.5084089893283443,"              precision    recall  f1-score   support

       False       0.75      0.99      0.85     17396
        True       0.27      0.01      0.02      5766

   micro avg       0.75      0.75      0.75     23162
   macro avg       0.51      0.50      0.44     23162
weighted avg       0.63      0.75      0.65     23162
","              precision    recall  f1-score   support

       False       0.75      0.98      0.85     17396
        True       0.27      0.02      0.04      5766

   micro avg       0.74      0.74      0.74     23162
   macro avg       0.51      0.50      0.45     23162
weighted avg       0.63      0.74      0.65     23162
","              precision    recall  f1-score   support

       False       0.75      0.95      0.84     17396
        True       0.24      0.05      0.08      5766

   micro avg       0.73      0.73      0.73     23162
   macro avg       0.50      0.50      0.46     23162
weighted avg       0.62      0.73      0.65     23162
","              precision    recall  f1-score   support

       False       0.75      0.90      0.82     17396
        True       0.23      0.09      0.13      5766

   micro avg       0.70      0.70      0.70     23162
   macro avg       0.49      0.50      0.47     23162
weighted avg       0.62      0.70      0.65     23162
","              precision    recall  f1-score   support

       False       0.75      0.80      0.77     17396
        True       0.23      0.19      0.21      5766

   micro avg       0.64      0.64      0.64     23162
   macro avg       0.49      0.49      0.49     23162
weighted avg       0.62      0.64      0.63     23162
","              precision    recall  f1-score   support

       False       0.75      0.70      0.72     17396
        True       0.24      0.29      0.27      5766

   micro avg       0.60      0.60      0.60     23162
   macro avg       0.50      0.49      0.49     23162
weighted avg       0.62      0.60      0.61     23162
","              precision    recall  f1-score   support

       False       0.75      0.50      0.60     17396
        True       0.25      0.50      0.33      5766

   micro avg       0.50      0.50      0.50     23162
   macro avg       0.50      0.50      0.47     23162
weighted avg       0.63      0.50      0.53     23162
",1
LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='warn',
          n_jobs=None, penalty='l2', random_state=None, solver='warn',
          tol=0.0001, verbose=0, warm_start=False)","{'C': 1, 'penalty': 'l2'}",0.4983522212616884,"              precision    recall  f1-score   support

       False       0.75      0.99      0.85     17396
        True       0.28      0.01      0.02      5766

   micro avg       0.75      0.75      0.75     23162
   macro avg       0.51      0.50      0.44     23162
weighted avg       0.63      0.75      0.65     23162
","              precision    recall  f1-score   support

       False       0.75      0.98      0.85     17396
        True       0.26      0.02      0.04      5766

   micro avg       0.74      0.74      0.74     23162
   macro avg       0.51      0.50      0.44     23162
weighted avg       0.63      0.74      0.65     23162
","              precision    recall  f1-score   support

       False       0.75      0.95      0.84     17396
        True       0.26      0.05      0.09      5766

   micro avg       0.73      0.73      0.73     23162
   macro avg       0.51      0.50      0.46     23162
weighted avg       0.63      0.73      0.65     23162
","              precision    recall  f1-score   support

       False       0.75      0.90      0.82     17396
        True       0.26      0.10      0.15      5766

   micro avg       0.70      0.70      0.70     23162
   macro avg       0.51      0.50      0.48     23162
weighted avg       0.63      0.70      0.65     23162
","              precision    recall  f1-score   support

       False       0.75      0.80      0.78     17396
        True       0.25      0.20      0.23      5766

   micro avg       0.65      0.65      0.65     23162
   macro avg       0.50      0.50      0.50     23162
weighted avg       0.63      0.65      0.64     23162
","              precision    recall  f1-score   support

       False       0.75      0.70      0.72     17396
        True       0.24      0.29      0.26      5766

   micro avg       0.59      0.59      0.59     23162
   macro avg       0.49      0.49      0.49     23162
weighted avg       0.62      0.59      0.61     23162
","              precision    recall  f1-score   support

       False       0.75      0.50      0.60     17396
        True       0.25      0.49      0.33      5766

   micro avg       0.50      0.50      0.50     23162
   macro avg       0.50      0.50      0.46     23162
weighted avg       0.62      0.50      0.53     23162
",1
LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='warn',
          n_jobs=None, penalty='l2', random_state=None, solver='warn',
          tol=0.0001, verbose=0, warm_start=False)","{'C': 10, 'penalty': 'l1'}",0.5002683406593643,"              precision    recall  f1-score   support

       False       0.75      0.99      0.85     17396
        True       0.28      0.01      0.02      5766

   micro avg       0.75      0.75      0.75     23162
   macro avg       0.52      0.50      0.44     23162
weighted avg       0.63      0.75      0.65     23162
","              precision    recall  f1-score   support

       False       0.75      0.98      0.85     17396
        True       0.25      0.02      0.04      5766

   micro avg       0.74      0.74      0.74     23162
   macro avg       0.50      0.50      0.44     23162
weighted avg       0.63      0.74      0.65     23162
","              precision    recall  f1-score   support

       False       0.75      0.95      0.84     17396
        True       0.23      0.05      0.08      5766

   micro avg       0.72      0.72      0.72     23162
   macro avg       0.49      0.50      0.46     23162
weighted avg       0.62      0.72      0.65     23162
","              precision    recall  f1-score   support

       False       0.75      0.90      0.82     17396
        True       0.26      0.10      0.15      5766

   micro avg       0.70      0.70      0.70     23162
   macro avg       0.50      0.50      0.48     23162
weighted avg       0.63      0.70      0.65     23162
","              precision    recall  f1-score   support

       False       0.75      0.80      0.77     17396
        True       0.24      0.19      0.21      5766

   micro avg       0.65      0.65      0.65     23162
   macro avg       0.49      0.50      0.49     23162
weighted avg       0.62      0.65      0.63     23162
","              precision    recall  f1-score   support

       False       0.75      0.70      0.72     17396
        True       0.25      0.30      0.27      5766

   micro avg       0.60      0.60      0.60     23162
   macro avg       0.50      0.50      0.50     23162
weighted avg       0.62      0.60      0.61     23162
","              precision    recall  f1-score   support

       False       0.75      0.50      0.60     17396
        True       0.25      0.51      0.34      5766

   micro avg       0.50      0.50      0.50     23162
   macro avg       0.50      0.50      0.47     23162
weighted avg       0.63      0.50      0.54     23162
",1
LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='warn',
          n_jobs=None, penalty='l2', random_state=None, solver='warn',
          tol=0.0001, verbose=0, warm_start=False)","{'C': 10, 'penalty': 'l2'}",0.4928775474118346,"              precision    recall  f1-score   support

       False       0.75      0.99      0.85     17396
        True       0.27      0.01      0.02      5766

   micro avg       0.75      0.75      0.75     23162
   macro avg       0.51      0.50      0.44     23162
weighted avg       0.63      0.75      0.65     23162
","              precision    recall  f1-score   support

       False       0.75      0.98      0.85     17396
        True       0.25      0.02      0.04      5766

   micro avg       0.74      0.74      0.74     23162
   macro avg       0.50      0.50      0.44     23162
weighted avg       0.63      0.74      0.65     23162
","              precision    recall  f1-score   support

       False       0.75      0.95      0.84     17396
        True       0.24      0.05      0.08      5766

   micro avg       0.72      0.72      0.72     23162
   macro avg       0.49      0.50      0.46     23162
weighted avg       0.62      0.72      0.65     23162
","              precision    recall  f1-score   support

       False       0.75      0.90      0.82     17396
        True       0.24      0.10      0.14      5766

   micro avg       0.70      0.70      0.70     23162
   macro avg       0.50      0.50      0.48     23162
weighted avg       0.62      0.70      0.65     23162
","              precision    recall  f1-score   support

       False       0.75      0.80      0.77     17396
        True       0.24      0.20      0.22      5766

   micro avg       0.65      0.65      0.65     23162
   macro avg       0.50      0.50      0.49     23162
weighted avg       0.62      0.65      0.63     23162
","              precision    recall  f1-score   support

       False       0.75      0.70      0.72     17396
        True       0.25      0.30      0.27      5766

   micro avg       0.60      0.60      0.60     23162
   macro avg       0.50      0.50      0.50     23162
weighted avg       0.63      0.60      0.61     23162
","              precision    recall  f1-score   support

       False       0.75      0.50      0.60     17396
        True       0.25      0.50      0.33      5766

   micro avg       0.50      0.50      0.50     23162
   macro avg       0.50      0.50      0.47     23162
weighted avg       0.63      0.50      0.53     23162
",1
